 
 历史年表

　
 
　　西　元

　　大事记

　　1966年　　菲里曼·Ｊ·达依索说明了关于利用木星的解体，来改造太阳系的可能性。

　　2007年　　在法国，研发出AIDS（后天免疫不全症候群）的特效药。

　　2010年4月　　IATER（Intemational Advaced TokamakExperimental，改良型国际热核融合实验炉）达到二．四秒的临界。能量的倍增率为一．八。

　　2014年　　确立了关于预防癌症的遗传因子治疗法。

　　2016年8月　　日本京都大学和美国王子大学的共同研究小组实现了让Helloal型的核融合实验炉以一一秒八一的“稳定”运转。

　　2018年　　世界第一所实用型核融合发电厂在日本青森县设立完成。输出电力为三八〇万kw之后，陆续在世界各地建设核融合发电厂。

　　2020年　　因为地球温暖化而导致海面上升，进而造成太平洋上的诺鲁共和国的全部国土沉没海中。国联总会为了是否要认同以超大型浮体式构造物所制造成的人工地盘当作国土一事而发生纠纷。但最后以特殊案例取得共识。同时决定将建造弹射器轨道当作“海上国家”诺鲁共和国的新产业。同年，美国再度开始探查月球上是否有人居住一事。

　　2022年　　开始非洲大陆上毛里塔尼亚境中的撒哈拉沙漠的灌溉事业。由输出电力为四〇〇万的发电厂提供电力，吸取大西洋的海水后，再将其淡化。利用淡化后的水来绿化撒哈拉沙漠。

　　2024年　　西伯利亚绿化计划开始。

　　2025年　　为了采集核融合发电厂的燃料“氦３”，国际原子力机关在月球表面上设立了前进基地。

　　2026年　　在诺鲁共和国建造中的弹射器轨道完成。这在把物资搬入月球表面都市一事上得到很有力的帮助。

　　2027年　　月球表面都市中的常驻人口超过一百人。

　　2030年　　在地球上建设的弹射器轨道超过十个。这些轨道替代了以往从地球上发射出的火箭，让在卫星轨道上就可以组合宇宙机器一事普及化。在月球表面也完成了要将矿物资源运输到地球表面所需的弹射器轨道。

　　2031年1月　　发射第一艘载有人类的外行星探查太空梭“冒险号”。搭乘组员男女合计共三十六人。

　　2035年　　联合国发表地球人口突破九十亿人。

　　2037年　　改造因超过耐用年限而在二〇二〇年被淘汰的国际太空战、伊站“卡路斯仍”，开始实验封锁性人类生活系统。联合国中专门机构之一，国际行星开发机构。发表了探查金星和水星上是否有人存在的计划。

　　2038年　　以美国为中心的国际宇宙开发机构开始建设证实型宇宙空间殖民地。在中国的西藏高原设防了弹射器轨道。发表将独自着手建设证实型宇宙空间殖民地。

　　2039年　　以EU圈为中心的欧洲共同宇宙开发机构开始建设宇宙空间殖民地。德国发表了要建造可容纳数千人口之规模的大型宇宙空间殖民地的建设计划。

